Ligand,Binding Affinity,rmsd/ub, rmsd/lb
model_02_(1)_1068_uff_E=49.01,-2.1,0,0
model_02_(1)_1068_uff_E=49.01,-1.7,5.788,5.193
model_02_(1)_1068_uff_E=49.01,-1.7,5.029,4.459
model_02_(1)_1068_uff_E=49.01,-1.6,6.123,5.566
model_02_(1)_1068_uff_E=49.01,-1.5,20.506,20.342
model_02_(1)_1068_uff_E=49.01,-1.5,26.131,25.908
model_02_(1)_1068_uff_E=49.01,-1.5,20.646,20.458
model_02_(1)_1068_uff_E=49.01,-1.5,25.977,25.813
model_02_(1)_1068_uff_E=49.01,-1.5,7.11,6.255
model_02_(1)_107905_uff_E=319.94,-7.4,0,0
model_02_(1)_107905_uff_E=319.94,-7.1,34.722,32.585
model_02_(1)_107905_uff_E=319.94,-7.1,5.567,2.472
model_02_(1)_107905_uff_E=319.94,-7.1,35.095,32.908
model_02_(1)_107905_uff_E=319.94,-7,3.506,2.135
model_02_(1)_107905_uff_E=319.94,-7,2.952,1.695
model_02_(1)_107905_uff_E=319.94,-7,28.458,24.848
model_02_(1)_107905_uff_E=319.94,-6.9,5.907,2.594
model_02_(1)_107905_uff_E=319.94,-6.9,16.496,14.833
model_02_(1)_11006_uff_E=47.83,-4.4,0,0
model_02_(1)_11006_uff_E=47.83,-4.3,3.997,1.896
model_02_(1)_11006_uff_E=47.83,-4.3,3.983,1.489
model_02_(1)_11006_uff_E=47.83,-4.3,5.11,2
model_02_(1)_11006_uff_E=47.83,-4.2,5.161,1.441
model_02_(1)_11006_uff_E=47.83,-4.2,4.706,1.32
model_02_(1)_11006_uff_E=47.83,-4.1,4.701,1.917
model_02_(1)_11006_uff_E=47.83,-4.1,5.239,2.033
model_02_(1)_11006_uff_E=47.83,-4.1,2.397,1.65
model_02_(1)_1110_uff_E=26.16,-5.5,0,0
model_02_(1)_1110_uff_E=26.16,-5.4,3.74,0.301
model_02_(1)_1110_uff_E=26.16,-4.6,3.882,1.35
model_02_(1)_1110_uff_E=26.16,-4.3,5.746,4.104
model_02_(1)_1110_uff_E=26.16,-4.2,4.869,3.513
model_02_(1)_1110_uff_E=26.16,-4.1,6.81,4.584
model_02_(1)_1110_uff_E=26.16,-4,20.901,19.724
model_02_(1)_1110_uff_E=26.16,-4,21.344,20.814
